iter	Passed	Remaining
157	369	1966
158	370	1959
159	372	1954
160	373	1945
161	377	1951
162	378	1943
163	379	1936
164	380	1927
165	384	1931
166	385	1924
167	386	1916
168	388	1907
169	389	1899
170	390	1891
171	391	1882
172	392	1874
173	393	1866
174	394	1858
175	395	1850
176	396	1842
177	399	1844
178	400	1836
179	401	1828
180	402	1821
181	403	1814
182	404	1806
183	405	1799
184	406	1791
185	407	1784
186	408	1776
187	409	1769
188	410	1762
189	413	1764
190	415	1758
191	416	1751
192	417	1745
193	418	1739
194	420	1734
195	421	1728
196	422	1721
197	423	1715
198	424	1709
199	425	1703
200	429	1709
201	431	1703
202	432	1696
203	433	1690
204	434	1684
205	435	1678
206	436	1672
207	437	1666
208	438	1660
209	440	1655
210	441	1649
211	443	1649
212	445	1644
213	446	1638
214	447	1632
215	448	1626
216	449	1620
217	450	1614
218	451	1608
219	452	1603
220	453	1597
221	454	1591
222	455	1586
223	457	1585
224	458	1580
225	459	1574
226	460	1569
227	462	1565
228	463	1560
229	464	1554
230	465	1549
231	466	1544
232	467	1539
233	468	1534
234	471	1536
235	473	1531
236	474	1526
237	475	1521
238	476	1515
239	477	1510
240	478	1506
241	479	1501
242	480	1496
243	481	1491
244	482	1486
245	483	1481
246	486	1482
247	487	1477
248	488	1473
249	489	1468
250	490	1463
251	491	1459
252	492	1454
253	493	1450
254	494	1445
255	495	1440
256	496	1436
257	497	1431
258	500	1432
259	501	1427
260	502	1423
261	503	1419
262	504	1414
263	505	1410
264	507	1406
265	508	1401
266	509	1397
267	509	1392
268	510	1388
269	511	1384
270	513	1380
271	514	1376
272	515	1372
273	516	1368
274	517	1364
275	518	1360
276	519	1356
277	520	1352
278	521	1348
279	522	1344
280	523	1340
281	524	1336
282	525	1332
283	528	1332
284	529	1328
285	530	1324
286	532	1321
287	533	1318
288	534	1314
289	535	1310
290	536	1307
291	537	1303
292	538	1299
293	539	1295
294	540	1292
295	543	1292
296	544	1289
297	545	1285
298	546	1282
299	548	1279
300	549	1275
301	550	1271
302	551	1268
303	552	1264
304	553	1261
305	554	1257
306	555	1254
307	558	1255
308	559	1251
309	560	1248
310	561	1244
311	562	1241
312	563	1237
313	564	1234
314	565	1230
315	566	1227
316	567	1223
317	568	1220
318	569	1216
319	572	1216
320	573	1213
321	574	1210
322	575	1207
323	576	1203
324	577	1200
325	579	1197
326	580	1193
327	581	1190
328	582	1187
329	583	1183
330	584	1180
331	585	1177
332	587	1176
333	588	1172
334	589	1169
335	590	1166
336	591	1163
337	592	1159
338	593	1156
339	594	1153
340	595	1150
341	596	1147
342	597	1143
343	598	1140
344	600	1140
345	601	1137
346	602	1134
347	603	1131
348	604	1128
349	605	1125
350	606	1122
351	607	1119
352	608	1116
353	609	1112
354	610	1109
355	611	1106
356	612	1103
357	615	1104
358	616	1101
359	618	1098
360	619	1095
361	620	1092
362	621	1089
363	622	1087
364	623	1084
365	624	1081
366	625	1078
367	626	1075
368	627	1072
369	629	1071
370	631	1069
371	632	1067
372	633	1064
373	634	1061
374	635	1059
375	636	1056
376	637	1053
377	638	1051
378	639	1048
379	640	1045
380	641	1042
381	642	1039
382	645	1039
383	646	1036
384	647	1033
385	648	1031
386	649	1028
387	650	1025
388	651	1022
389	652	1020
390	653	1017
391	654	1015
392	655	1012
393	656	1009
394	659	1010
395	660	1007
396	661	1004
397	662	1002
398	663	999
399	664	996
400	665	994
401	666	991
402	667	989
403	668	986
404	669	984
405	670	981
406	672	979
407	674	978
408	675	976
409	676	973
410	677	970
411	678	968
412	679	965
413	680	963
414	681	960
415	682	958
416	683	955
417	684	953
418	685	950
419	686	948
420	688	946
421	689	944
422	690	941
423	691	939
424	692	937
425	693	934
426	694	932
427	695	929
428	696	927
429	697	924
430	698	922
431	699	920
432	702	919
433	703	917
434	704	914
435	705	912
436	706	910
437	707	907
438	708	905
439	709	902
440	710	900
441	711	898
442	712	895
443	713	893
444	714	891
445	717	891
446	718	888
447	719	886
448	720	884
449	721	881
450	723	880
451	724	878
452	725	876
453	726	874
454	727	871
455	729	869
456	731	869
457	733	867
458	734	865
459	735	863
460	736	860
461	737	858
462	738	856
463	739	854
464	740	852
